,N2OCPRMG,AGEGRP,SALARYP
0,"Biological, agricultural and other life scientists",<30,57957.74
1,"Biological, agricultural and other life scientists",30-34,65885.81
2,"Biological, agricultural and other life scientists",35-39,71457
3,"Biological, agricultural and other life scientists",40-44,79495.9
4,"Biological, agricultural and other life scientists",45-49,88980.92
5,"Biological, agricultural and other life scientists",50-54,93996.85
6,"Biological, agricultural and other life scientists",55-59,109988.48
7,"Biological, agricultural and other life scientists",60-64,105464.03
8,"Biological, agricultural and other life scientists",65-69,90548.38
9,"Biological, agricultural and other life scientists",70-75,103414.28
10,Computer and mathematical scientists,<30,100230.76
11,Computer and mathematical scientists,30-34,99283.5
12,Computer and mathematical scientists,35-39,95895.37
13,Computer and mathematical scientists,40-44,108797.14
14,Computer and mathematical scientists,45-49,102876.36
15,Computer and mathematical scientists,50-54,106913.38
16,Computer and mathematical scientists,55-59,119515.52
17,Computer and mathematical scientists,60-64,99802.81
18,Computer and mathematical scientists,65-69,98455.69
19,Computer and mathematical scientists,70-75,77888.88
20,Engineers,<30,90902.43
21,Engineers,30-34,88757.81
22,Engineers,35-39,98027.33
23,Engineers,40-44,97913.04
24,Engineers,45-49,107567.68
25,Engineers,50-54,117491.71
26,Engineers,55-59,124273.38
27,Engineers,60-64,125307.69
28,Engineers,65-69,115200
29,Engineers,70-75,138714.28
30,Non-S&E Occupations,<30,78148.93
31,Non-S&E Occupations,30-34,81631.37
32,Non-S&E Occupations,35-39,84682.8
33,Non-S&E Occupations,40-44,99653.36
34,Non-S&E Occupations,45-49,106338.46
35,Non-S&E Occupations,50-54,116013.69
36,Non-S&E Occupations,55-59,118668.06
37,Non-S&E Occupations,60-64,108458.2
38,Non-S&E Occupations,65-69,100212.61
39,Non-S&E Occupations,70-75,73404.34
40,Physical and related scientists,<30,71666.66
41,Physical and related scientists,30-34,76232.84
42,Physical and related scientists,35-39,73860.1
43,Physical and related scientists,40-44,85660.29
44,Physical and related scientists,45-49,82396.55
45,Physical and related scientists,50-54,98161.4
46,Physical and related scientists,55-59,100070.58
47,Physical and related scientists,60-64,98977.77
48,Physical and related scientists,65-69,92750
49,Physical and related scientists,70-75,97961.53
50,S&E related occupations,<30,68606.06
51,S&E related occupations,30-34,80246.61
52,S&E related occupations,35-39,92598.66
53,S&E related occupations,40-44,107061.56
54,S&E related occupations,45-49,109018.36
55,S&E related occupations,50-54,119220.33
56,S&E related occupations,55-59,109271.49
57,S&E related occupations,60-64,114478.58
58,S&E related occupations,65-69,98854.54
59,S&E related occupations,70-75,88052.63
60,Social and related scientists,<30,63360
61,Social and related scientists,30-34,72062.58
62,Social and related scientists,35-39,75049.1
63,Social and related scientists,40-44,83116.98
64,Social and related scientists,45-49,86538.54
65,Social and related scientists,50-54,91209.49
66,Social and related scientists,55-59,91326.79
67,Social and related scientists,60-64,91583.62
68,Social and related scientists,65-69,91384.97
69,Social and related scientists,70-75,77650.2
